Propublica Number,Club Name,Tax Year,Data Source,PDF URL,Total Revenue,Total Functional Expenses,Net Income,Total Assets,Total Liabilities,Net Assets,Found By,Verified By
204744523,OWL CLUB CAPITAL MANAGEMENT INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_12_EO%2F20-4744523_990O_200712.pdf,NA,NA,NA,NA,NA,NA,,
204744523,OWL CLUB CAPITAL MANAGEMENT INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_12_EO%2F20-4744523_990O_200612.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_04_EO%2F04-3573739_990_201008.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F04-3573739_990_200908.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_03_EO%2F04-3573739_990_200808.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_07_EO%2F04-3573739_990_200708.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_04_EO%2F04-3573739_990_200608.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_08_EO%2F04-3573739_990_200508.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_08_EO%2F04-3573739_990_200408.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_07_EO%2F04-3573739_990_200308.pdf,NA,NA,NA,NA,NA,NA,,
43573739,HARVARD KROKODILOES INC,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_07_EO%2F04-3573739_990_200208.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2014,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2015_07_EO%2F04-2628384_990EZ_201406.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2013,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2014_07_EO%2F04-2628384_990EZ_201306.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F04-2628384_990EZ_201006.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_02_EO%2F04-2628384_990EZ_200906.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_06_EO%2F04-2628384_990_200806.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_03_EO%2F04-2628384_990_200706.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_01_EO%2F04-2628384_990_200606.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_03_EO%2F04-2628384_990_200506.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_07_EO%2F04-2628384_990EZ_200406.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_06_EO%2F04-2628384_990_200306.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_06_EO%2F04-2628384_990_200206.pdf,NA,NA,NA,NA,NA,NA,,
42628384,HARVARD GLEE CLUB INC,2001,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2002_03_EO%2F04-2628384_990EZ_200106.pdf,NA,NA,NA,NA,NA,NA,,
460697343,HARVARD MODEL CONGRESS DUBAI,2015,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2015_07_EO%2F46-0697343_990_201506.pdf,NA,NA,NA,NA,NA,NA,,
460697343,HARVARD MODEL CONGRESS DUBAI,2014,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2014_06_EO%2F46-0697343_990_201406.pdf,NA,NA,NA,NA,NA,NA,,
460697343,HARVARD MODEL CONGRESS DUBAI,2013,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2013_06_EO%2F46-0697343_990_201306.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2014,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2015_07_EO%2F04-3009105_990EZ_201408.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2013,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2014_07_EO%2F04-3009105_990EZ_201308.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_03_EO%2F04-3009105_990EZ_201008.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F04-3009105_990EZ_200908.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_03_EO%2F04-3009105_990_200808.pdf,NA,NA,NA,NA,NA,NA,,
43009105,HARVARD UNIVERSITY BAND INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_01_EO%2F04-3009105_990_200708.pdf,NA,NA,NA,NA,NA,NA,,
